Data,Descrizione,Importo,Valuta
03/03/2025,STIPENDIO ACCENTURE,+2800.00,EUR
03/03/2025,CONAD SUPERMERCATI,-90.00,EUR
04/03/2025,ENEL ENERGIA BOLLETTA,-118.00,EUR
05/03/2025,NETFLIX ABBONAMENTO,-17.99,EUR
06/03/2025,RISTORANTE DA MARIO,-80.00,EUR
07/03/2025,ATM TRASPORTI MILANO,-35.00,EUR
08/03/2025,SUSHI YAMA,-60.00,EUR
09/03/2025,AMAZON.IT ACQUISTO,-70.00,EUR
10/03/2025,SPOTIFY ABBONAMENTO,-9.99,EUR
11/03/2025,ESSELUNGA SUPERMERCATI,-98.00,EUR
12/03/2025,ENI STAZIONE SERVIZIO,-60.00,EUR
13/03/2025,PIZZERIA NAPOLI,-48.00,EUR
14/03/2025,COMMISSIONE CANONE MENSILE,-5.00,EUR
15/03/2025,ZARA ABBIGLIAMENTO,-55.00,EUR
16/03/2025,VODAFONE RICARICA,-25.00,EUR
17/03/2025,COOP SUPERMERCATI,-75.00,EUR
18/03/2025,BAR CENTRALE,-9.00,EUR
19/03/2025,GLOVO CONSEGNA,-35.00,EUR
20/03/2025,CINEMA MULTISALA,-24.00,EUR
21/03/2025,FARMACIA CENTRALE,-15.00,EUR
22/03/2025,DISNEY PLUS ABBONAMENTO,-8.99,EUR
23/03/2025,MCDONALD'S,-30.00,EUR
24/03/2025,AUTOSTRADE PER L'ITALIA,-12.30,EUR
25/03/2025,ZALANDO ACQUISTO,-90.00,EUR
26/03/2025,CONAD SUPERMERCATI,-82.00,EUR
27/03/2025,RISTORANTE DA MARIO,-95.00,EUR
28/03/2025,DAZN ABBONAMENTO,-34.99,EUR
29/03/2025,TIM BOLLETTA TELEFONO,-30.00,EUR
30/03/2025,AFFITTO CASA,-750.00,EUR
31/03/2025,KEBAB HOUSE,-14.00,EUR
