Data,Descrizione,Importo,Valuta
02/01/2025,STIPENDIO ACCENTURE,+2800.00,EUR
03/01/2025,CONAD SUPERMERCATI,-85.40,EUR
04/01/2025,ENEL ENERGIA BOLLETTA,-120.00,EUR
05/01/2025,NETFLIX ABBONAMENTO,-17.99,EUR
06/01/2025,RISTORANTE DA MARIO,-65.00,EUR
07/01/2025,ATM TRASPORTI MILANO,-35.00,EUR
08/01/2025,FARMACIA CENTRALE,-22.50,EUR
09/01/2025,AMAZON.IT ACQUISTO,-49.99,EUR
10/01/2025,SPOTIFY ABBONAMENTO,-9.99,EUR
11/01/2025,ESSELUNGA SUPERMERCATI,-92.10,EUR
12/01/2025,ENI STAZIONE SERVIZIO,-55.00,EUR
13/01/2025,PIZZERIA NAPOLI,-38.00,EUR
14/01/2025,COMMISSIONE CANONE MENSILE,-5.00,EUR
15/01/2025,ZARA ABBIGLIAMENTO,-79.90,EUR
16/01/2025,VODAFONE RICARICA,-25.00,EUR
17/01/2025,COOP SUPERMERCATI,-70.30,EUR
18/01/2025,BAR CENTRALE,-4.50,EUR
19/01/2025,GLOVO CONSEGNA,-22.00,EUR
20/01/2025,CINEMA MULTISALA,-12.00,EUR
21/01/2025,PARAFARMACIA IGEA,-18.00,EUR
22/01/2025,DISNEY PLUS ABBONAMENTO,-8.99,EUR
23/01/2025,MCDONALD'S,-15.50,EUR
24/01/2025,AUTOSTRADE PER L'ITALIA,-12.30,EUR
25/01/2025,ZALANDO ACQUISTO,-64.00,EUR
26/01/2025,CONAD SUPERMERCATI,-78.20,EUR
27/01/2025,RISTORANTE DA MARIO,-52.00,EUR
28/01/2025,BOLLO AUTO IMPOSTA,-15.00,EUR
29/01/2025,TIM BOLLETTA TELEFONO,-30.00,EUR
30/01/2025,AFFITTO CASA,-750.00,EUR
31/01/2025,RIMBORSO SPESE ACCENTURE,+120.00,EUR
