Data,Descrizione,Importo,Valuta
02/02/2025,STIPENDIO ACCENTURE,+2800.00,EUR
03/02/2025,CONAD SUPERMERCATI,-88.00,EUR
04/02/2025,ENEL ENERGIA BOLLETTA,-115.00,EUR
05/02/2025,NETFLIX ABBONAMENTO,-17.99,EUR
06/02/2025,RISTORANTE DA MARIO,-70.00,EUR
07/02/2025,ATM TRASPORTI MILANO,-35.00,EUR
08/02/2025,SUSHI YAMA,-45.00,EUR
09/02/2025,AMAZON.IT ACQUISTO,-65.00,EUR
10/02/2025,SPOTIFY ABBONAMENTO,-9.99,EUR
11/02/2025,ESSELUNGA SUPERMERCATI,-95.00,EUR
12/02/2025,ENI STAZIONE SERVIZIO,-58.00,EUR
13/02/2025,PIZZERIA NAPOLI,-42.00,EUR
14/02/2025,COMMISSIONE CANONE MENSILE,-5.00,EUR
15/02/2025,DECATHLON SPORT,-45.00,EUR
16/02/2025,VODAFONE RICARICA,-25.00,EUR
17/02/2025,COOP SUPERMERCATI,-73.50,EUR
18/02/2025,BAR CENTRALE,-6.00,EUR
19/02/2025,DELIVEROO CONSEGNA,-28.00,EUR
20/02/2025,CINEMA MULTISALA,-12.00,EUR
21/02/2025,FARMACIA CENTRALE,-30.00,EUR
22/02/2025,DISNEY PLUS ABBONAMENTO,-8.99,EUR
23/02/2025,KEBAB HOUSE,-9.50,EUR
24/02/2025,AUTOSTRADE PER L'ITALIA,-12.30,EUR
25/02/2025,ASOS ACQUISTO,-58.00,EUR
26/02/2025,CONAD SUPERMERCATI,-80.00,EUR
27/02/2025,RISTORANTE DA MARIO,-60.00,EUR
28/02/2025,AFFITTO CASA,-750.00,EUR
